nama,kode,harga,jenis,status
PULSA LISTRIK 21000 ,HPELN21,19850,1,1
PULSA LISTRIK 20000,HPELN20,18850,1,1
TELKOMSEL 500000,HS500,497425,1,1
TELKOMSEL 300000,HS300,297425,1,1
TELKOMSEL 200000,HA200,197425,1,1
AS 1000,HA1,1775,1,1
TELKOMSEL 1000,HS1,1775,1,1
THREE 40000,HT40,40155,1,1
PULSA LISTRIK 1000000,HPUPLN1000,998800,1,1
PULSA LISTRIK 900000,HPUPLN900,898800,1,1
PULSA LISTRIK 800000,HPUPLN800,798800,1,1
PULSA LISTRIK 750000,HPUPLN750,748800,1,1
PULSA LISTRIK 600000,HPUPLN600,598800,1,1
PULSA LISTRIK 500000,HPUPLN500,498800,1,1
PULSA LISTRIK 450000,HPUPLN450,448800,1,1
PULSA LISTRIK 400000,HPUPLN400,398800,1,1
PULSA LISTRIK 350000,HPUPLN350,348800,1,1
PULSA LISTRIK 300000,HPUPLN300,298800,1,1
PULSA LISTRIK 250000,HPUPLN250,248800,1,1
PULSA LISTRIK 180000,HPU180,178800,1,1
PULSA LISTRIK 200000,HPU200,198800,1,1
PULSA LISTRIK 220000,HPUPLN220,218800,1,1
PULSA LISTRIK 225000,HPUPLN225,223800,1,1
PULSA LISTRIK 50000,HPELN50,48850,1,1
PULSA LISTRIK 48000,HPELN48,46850,1,1
PULSA LISTRIK 40000,HPELN40,38850,1,1
XL REGULER 200000,HX200,195600,1,1
TELKOMSEL 200000,HS200,197425,1,1
AS 150000,HS150,147425,1,1
TELKOMSEL 1000000,HA1000,997425,1,1
AS 150000,HA150,147425,1,1
PULSA LISTRIK 150000,HPU150,148800,1,1
PULSA LISTRIK 125000,HPU125,123800,1,1
PULSA LISTRIK 120000,HPU120,118800,1,1
PULSA LISTRIK 110000,HPU110,108800,1,1
PULSA LISTRIK 100000,HPU100,98800,1,1
PULSA LISTRIK 98000,HPU98,96800,1,1
PULSA LISTRIK 95000,HPU95,93800,1,1
PULSA LISTRIK 90000,HPU90,88800,1,1
PULSA LISTRIK 85000,HPU85,83800,1,1
PULSA LISTRIK 80000,HPU80,78800,1,1
PULSA LISTRIK 75000,HPU75,73800,1,1
PULSA LISTRIK 70000,HPU70,68800,1,1
PULSA LISTRIK 65000,HPU65,63800,1,1
PULSA LISTRIK 53000,HPU53,51800,1,1
PULSA LISTRIK 54000,HPU54,52800,1,1
PULSA LISTRIK 55000,HPU55,53800,1,1
PULSA LISTRIK 60000,HPU60,58800,1,1
PULSA LISTRIK 35000,HPELN35,33850,1,1
PULSA LISTRIK 32000,HPELN32,30850,1,1
PULSA LISTRIK 31000,HPELN31,29850,1,1
TELKOMSEL 1000000,HS1000,997425,1,1
TELKOMSEL 500000,HA500,497425,1,1
AS 300000,HA300,297425,1,1
PULSA LISTRIK 52000,HPU52,50800,1,1
PULSA LISTRIK 51000,HPU51,49800,1,1
PULSA LISTRIK 50000,HPU50,48800,1,1
PULSA LISTRIK 48000,HPU48,46800,1,1
PULSA LISTRIK 40000,HPU40,38800,1,1
PULSA LISTRIK 35000,HPU35,33800,1,1
PULSA LISTRIK 32000,HPU32,30800,1,1
PULSA LISTRIK 31000,HPU31,29800,1,1
PULSA LISTRIK 30000,HPU30,28800,1,1
PULSA LISTRIK 29000,HPU29,27800,1,1
PULSA LISTRIK 28000,HPU28,26800,1,1
PULSA LISTRIK 27000,HPU27,25800,1,1
PULSA LISTRIK 26000,HPU26,24800,1,1
PULSA LISTRIK 22000,HPU22,20800,1,1
PULSA LISTRIK 23000,HPU23,21800,1,1
PULSA LISTRIK 24000,HPU24,22800,1,1
PULSA LISTRIK 25000,HPU25,23800,1,1
PULSA LISTRIK 30000,HPELN30,28850,1,1
PULSA LISTRIK 29000,HPELN29,27850,1,1
PULSA LISTRIK 22000,HPELN22,20850,1,1
PULSA LISTRIK 23000,HPELN23,21850,1,1
PULSA LISTRIK 24000,HPELN24,22850,1,1
PULSA LISTRIK 25000,HPELN25,23850,1,1
PULSA LISTRIK 26000,HPELN26,24850,1,1
PULSA LISTRIK 27000,HPELN27,25850,1,1
PULSA LISTRIK 28000,HPELN28,26850,1,1
PULSA LISTRIK 21000 ,HPU21,19800,1,1
ORANGE TV 50000,HOV50,46775,2,1
TELKOMSEL TRANSFER 5000,HSTR5,6125,1,1
 TELKOMSEL INTERNET KUOTA 500MB AKTIF 30HARI 25000,HSTG25,25770,1,1
PULSA LISTRIK 53000,HPELN53,51850,1,1
PULSA LISTRIK 52000,HPELN52,50850,1,1
PULSA LISTRIK 51000,HPELN51,49850,1,1
ORANGE TV 150000,HOV150,138775,2,1
ORANGE TV 100000,HOV100,92775,2,1
ORANGE TV 80000,HOV80,74375,2,1
PULSA LISTRIK 20000,HPU20,18800,1,1
PAKET INTERNET INDOSAT 11GB,HID11,13275,1,1
SPEEDY ID 5000,HSPIN5,3275,1,1
ORANGE TV 1000000,HOV1000,920775,2,1
ORANGE TV 300000,HOV300,276775,2,1
PULSA LISTRIK 54000,HPELN54,52850,1,1
PULSA LISTRIK 55000,HPELN55,53850,1,1
PULSA LISTRIK 60000,HPELN60,58850,1,1
PULSA LISTRIK 65000,HPELN65,63850,1,1
PULSA LISTRIK 70000,HPELN70,68850,1,1
PULSA LISTRIK 75000,HPELN75,73850,1,1
PULSA LISTRIK 80000,HPELN80,78850,1,1
PULSA LISTRIK 85000,HPELN85,83850,1,1
PULSA LISTRIK 90000,HPELN90,88850,1,1
PULSA LISTRIK 95000,HPELN95,93850,1,1
PULSA LISTRIK 98000,HPELN98,96850,1,1
PULSA LISTRIK 100000,HPELN100,98850,1,1
PULSA LISTRIK 110000,HPELN110,108850,1,1
PULSA LISTRIK 120000,HPELN120,118850,1,1
PULSA LISTRIK 125000,HPELN125,123850,1,1
PULSA LISTRIK 150000,HPELN150,148850,1,1
PULSA LISTRIK 180000,HPELN180,178850,1,1
PULSA LISTRIK 200000,HPELN200,198850,1,1
PULSA LISTRIK 210000,HPELN210,208850,1,1
PULSA LISTRIK 220000,HPELN220,218850,1,1
PULSA LISTRIK 225000,HPELN225,223850,1,1
PULSA LISTRIK 250000,HPELN250,248850,1,1
PULSA LISTRIK 300000,HPELN300,298850,1,1
PULSA LISTRIK 350000,HPELN350,348850,1,1
PULSA LISTRIK 400000,HPELN400,398850,1,1
PULSA LISTRIK 450000,HPELN450,448850,1,1
PULSA LISTRIK 500000,HPELN500,498850,1,1
PULSA LISTRIK 600000,HPELN600,598850,1,1
PULSA LISTRIK 750000,HPELN750,748850,1,1
PULSA LISTRIK 800000,HPELN800,798850,1,1
PULSA LISTRIK 900000,HPELN900,898850,1,1
PULSA LISTRIK 1000000,HPELN1000,998850,1,1
SMARTSMARTFREN 60000,HSM60,59475,1,1
ITUNES GIFT CARD 100 (US),HITN100,1350675,2,1
MOGPLAY 200000,HMOG200,180675,2,1
MOGPLAY 500000,HMOG500,450675,2,1
PLAYSTATION STORE PREPAID CARD V100,HID100,127675,2,1
PLAYSTATION STORE PREPAID CARD V200,HID200,255675,2,1
PLAYSTATION STORE PREPAID CARD V400,HID400,510675,2,1
XBOX LIVE GIFT CARD $10,HBOX10,140675,2,1
XBOX LIVE GIFT CARD $15,HBOX15,206675,2,1
XBOX LIVE GIFT CARD $25,HBOX25,325675,2,1
XBOX LIVE GIFT CARD $50,HBOX30,643675,2,1
XBOX LIVE GIFT CARD $50,HBOX50,643675,2,1
MOGPLAY V20,HGR20,18675,2,1
MOGPLAY V50,HGR50,45675,2,1
MOGPLAY V500,HGR500,450675,2,1
GARENA 33 SHELL,HGR10,9775,2,1
"PAKET INTERNET - 1GB, 30HR, 30RB NAS",HIDN1,22325,1,1
"PAKET INTERNET - 2GB, 30HR, 55RB NAS",HIDN2,37325,1,1
"PAKET INTERNET - 4.5GB, 30HR, 49900 NAS",HIDN45,38325,1,1
"PAKET INTERNET - 4GB, 90HR, 49RB NAS",HIDN4,46825,1,1
"PAKET INTERNET - 3GB, 90HR, 69RB NAS",HIDN3,51825,1,1
"PAKET INTERNET - 9.5GB, 30HR, 99.900",HIDN95,71825,1,1
"PAKET INTERNET - 5GB, 30HR, 125RB NAS",HIDN5,87325,1,1
GARENA V5,HGR5,5275,2,1
SMARTSMARTFREN 60000,HSM60,59575,1,1
ITUNES GIFT CARD 100 (US),HITN100,1350775,2,1
 THREE INTERNET 25 MEGA,HTI25M,2875,1,1
THREE INTERNET 400 MEGA,HTI4M,10620,1,1
 THREE INTERNET 4 GIGA,HTI4G,49724,1,1
 THREE INTERNET 8 GIGA,HTI8G,98775,1,1
XL TRANSFERPULSA 5000,HXT5,5925,1,1
XL TRANSFERPULSA 10000,HXT10,10325,1,1
XL TRANSFERPULSA 25000,HXT25,23525,1,1
XL TRANSFERPULSA 50000,HXT50,45525,1,1
XL TRANSFERPULSA 100000,HXT100,89525,1,1
BB GAUL ( CHAT & SOCIAL ) 7HR,HBBG17,17775,1,1
BB FULL BIS LITE 7 HARI,HBBF25,20675,1,1
BB GAUL UNLIMITED + PULSA 7HR,HBBG20,20725,1,1
BB FULL BIS LITE UNLI 7HR,HBBF55,30625,1,1
BB GAUL ( CHAT & SOCIAL ) 30HR,HBBG50,50425,1,1
BB GAUL UNLIMITED + PULSA 30HR,HBBG55,55375,1,1
BB FULL BIS LITE 30HR,HBBF70,70225,1,1
BB FULL BIS LITE UNLI 30HR,HBBF30,85075,1,1
BB GAUL BANGET 30HR,HIBG1,54925,1,1
BB GAUL BANGET 90HR,HIBG3,81925,1,1
BB FULL SERVICE 30HR,HIBF30,82825,1,1
BB GAUL BANGET 180HR,HIBG6,135425,1,1
THREE PAKET DATA 20MB,HTD20,2625,1,1
THREE PAKET DATA 80MB,HTD80,5475,1,1
THREE PAKET DATA 300MB,HTD30,10225,1,1
THREE PAKET DATA 650MB,HTD65,20125,1,1
THREE PAKET DATA 1.5GB,HTD12,32625,1,1
THREE PAKET DATA 4.25GB,HTD42,81625,1,1
XL 10000,UAXL10,10850,1,1
XL TRANSFERPULSA 5000 PULSA MASUK 5400,HXTR5,6025,1,1
XL TRANSFERPULSA 5000 PULSA MASUK 10400,HXTR10,10525,1,1
XL TRANSFERPULSA 5000 PULSA MASUK 25400,HXTR25,24025,1,1
XL TRANSFERPULSA 5000 PULSA MASUK 50000,HXTR50,46525,1,1
XL TRANSFERPULSA 5000 PULSA MASUK 100000,HXTR100,91525,1,1
SPEEDY ID 800,HSPIN8,1425,1,1
HOTROD 50MB,HH6,6875,1,1
HOTROD 50MB,HIH6,6875,1,1
HOTROD 200MB,HIH12,12825,1,1
HOTROD 200MB,HH12,12825,1,1
"\tHOTROD 600MB, 30HR 24 JAM",HIH30,23625,1,1
HOTROD 2GB 30HR 24 JAM,HH60,46125,1,1
HOTROAD 4GB 30 / DAYS 24 JAM,HH90,93725,1,1
HOTROD 8 GB,HH200,199025,1,1
HOTROD 10GB,HH300,298025,1,1
"HOTROD QUOTA 1.5GB, 30HR 24 JAM",HIH50,38625,1,1
\tHOTROD 2GB 30HR 24 JAM,HIH60,46125,1,1
HOTROAD 4GB 30 / DAYS 24 JAM,HIH90,93625,1,1
"HOTROD 2,5GB 30HR 24 JAM",HIH100,99925,1,1
HOTROD 8 GB,HIH200,198925,1,1
HOTROD 10GB,HIH300,297925,1,1
"SUPER NGEBUT, 2GB/30 DAYS",HXIP20,20725,1,1
"SUPER NGEBUT, 5GB/30 DAYS",HXIP40,40525,1,1
"\tSUPER NGEBUT, 11GB/30 DAYS",HXIP80,80125,1,1
GARENA V300 1000 SHELL,HGR300,273625,2,1
PAKET INTERNET - EXTRA 2GB 40RB,HIDX2,36850,1,1
PAKET INTERNET - EXTRA 4GB 60RB,HIDX4,51150,1,1
PAKET INTERNET - EXTRA 6GB 80RB,HIDX6,66150,1,1
THREE PAKET DATA 5GB,HTD5,49675,1,1
THREE PAKET DATA 8GB,HTD8,98675,1,1
"PAKET INET - FREEDOM COMBO M, 1+1GB 4G, 30HR",HIFC1,35675,1,1
"PAKET INET - FREEDOM COMBO L, 3+3GB 4G, 30HR",HIFC3,57675,1,1
"PAKET INET - FREEDOM COMBO XL, 5+5GB 4G, 30HR",HIFC5,79675,1,1
"PAKET INET - FREEDOM COMBO XXL, 10+10GB 4G, 30HR",HIFC10,98175,1,1
XL REGULER 15000,HXL15,15775,1,1
XL REGULER 30000,HXL30,30475,1,1
HZNG20,HZNG20 ZYN,26675,2,1
THREE INET - QUOTA 1GB 1TAHUN,HAON1,18675,1,1
THREE INET - QUOTA 2GB 1TAHUN,HAON2,33425,1,1
THREE INET - QUOTA 3GB 1TAHUN,HAON3,47175,1,1
THREE INET - QUOTA 4GB 1TAHUN,HAON4,57475,1,1
THREE INET - QUOTA 5GB 1TAHUN,HAON5,70575,1,1
THREE INET - QUOTA 6GB 1TAHUN,HAON6,82575,1,1
THREE INET - QUOTA 8GB 1TAHUN,HAON8,108575,1,1
THREE INET - QUOTA 10GB 1TAHUN,HAON10,133875,1,1
CERIA 50000,HCO5,5425,1,1
CERIA 10000,HCO10,10125,1,1
CERIA 20000,HCO20,19375,1,1
CERIA 50000,HCO50,46625,1,1
CERIA 100000,HCO100,92125,1,1
"BB GAUL UNLI PULSA RP20RB, 7HR",HBGU20,21275,1,1
"BB FULL BIS LITE RP25RB, 7HR",HBBS25,26275,1,1
BB 3IN1 ( FREE TLP & SMS KE 3 NO YG DIDAFTARKAN),HBB3IN1X,124825,1,2
"HOTROD 24JAM RP25RB, 30HR, 500MB",HRD22,24075,1,1
"HOTROD 24JAM RP30RB, 30HR, 600MB",HJM27,28275,1,1
"HOTROD XTRA 4G 2GB, 30HR, RP30RB",HXG30,30975,1,1
"HOTROD 24JAM RP50RB, 30HR, 1.5GB",HRD45,46275,1,1
"HOTROD 24JAM RP60RB, 30HR, 2GB",HJM48,49275,1,1
"HOTROD 3X KUOTA 4.5GB, 30HR, RP50RB",HRD50,51275,1,1
"HOTROD XTRA 4G 3GB, 30HR, RP60RB",HXG60,59775,1,1
"HOTROD 24JAM RP100RB, 30HR, 4.5GB",HJM80,81275,1,1
"HOTROD 24JAM RP120RB, 30HR, 6GB",HJM96,97275,1,1
"HOTROD 3X KUOTA, 13.5GB, 30HR, RP100RB",HRD100,101275,1,1
"HOTROD XTRA 4G 6GB, 30HR, RP120RB",HXG120,118275,1,1
"BB FULL BIS LITE UNLI PULSA RP30RB, 7HR",HBFU30,31275,1,1
"BB XMARTPLAN GAUL 50MNT + 50SMS, 30HR",HBXGJ45,46275,1,1
"BB GAUL (CHATSOCIAL) RP50RB, 30HR",HBGD45,46275,1,1
"BB GAUL UNLI PULSA RP55RB, 30HR",HBGUD49,50775,1,1
"BB BIZZ (EMAILCHAT) RP55RB, 30HR",HBBD49,50775,1,1
"BB XMARTPLAN, 30HR, GAUL+100MNT+100SMS",HBBX60,54875,1,1
"BB XMARTPLAN RP60RB, 30HR, GAUL+100MNT+100SMS",HBXD54,55275,1,1
"BB FULL BIS LITE RP70RB, 30HR",HBBS70,64275,1,1
"BB XMARTPLAN FULL BIS LITE 75MNT + 75SMS, 30HR",HBXFL75,68775,1,1
"BB FULL BIS LITE UNLI PULSA RP85RB, 30HR",HBFUD76,77775,1,1
"BB FULL SERVICE RP90RB, 30HR",HBBD81,82275,1,1
"BB XMARTPLAN GAUL 50MNT + 50SMS, 90HR",HBXGJ90,91275,1,1
"BB XMARTPLAN FULL SERVICE 100MNT + 100SMS, 30HR",HBXFS90,91275,1,1
"BB XMARTPLAN, 30HR, FULL BIS+200MNT+200SMS",HBBX120,108300,1,1
"BB XMARTPLAN FULL BIS LITE 75MNT + 75SMS, 90HR",HBXFL135,136275,1,1
"BB XMARTPLAN FULL SERVICE 100MNT + 100SMS, 90HR",HBXFS180,181275,1,1
PULSA BOLT 29000,HBO29,28675,1,1
PULSA BOLT 49000,HBO49,47875,1,1
PULSA BOLT 99000,HBO99,95875,1,1
PULSA BOLT 149000,HBO149,143875,1,1
PULSA BOLT 199000,HBO199,191875,1,1
AXIS TRANSFERPULSA 5000,HAXT5,6225,1,1
AXIS TRANSFERPULSA 10000,HAXT10,10875,1,1
AXIS TRANSFERPULSA 20000,HAXT20,19975,1,1
AXIS TRANSFERPULSA 25000,HAXT25,24525,1,1
AXIS TRANSFERPULSA 50000,HAXT50,47775,1,1
AXIS TRANSFERPULSA 100000,HAXT100,93775,1,1
AXIS TRANSFERPULSA 200000,HAXT200,184775,1,1
SMARTSMARTFREN 150000,HSM150,147725,1,1
SMARTSMARTFREN 200000,HSM200,197475,1,1
SMARTSMARTFREN 300000,HSM300,297275,1,1
SMARTSMARTFREN 500000,HSM500,497125,1,1
AXIS 15000,HAX15,16000,1,1
100 MOL POINT,HMOL10,11325,2,1
200 MOL POINT,HMOL20,21775,2,1
500 MOL POINT,HMOL50,53125,2,1
1000 MOL POINT,HMOL100,105375,2,1
2000 MOL POINT,HMOL200,209875,2,1
"HOTROD 24JAM RP30RB, 30HR, 800MB",HRM30,31375,1,1
HOTROD PRIORITAS 1.2GB RP50RB,HPR45,46375,1,1
