program_id,id_programdetail,season,publish,duration,tv_station,description,picture_name,picture_size,vdo_eps2_name,vdo_eps1_name,program_title,vdo_eps2_size,category_type,vdo_eps1_size,vdo_eps3_size,vdo_eps3_name,total_episode,pict_eps2_name,pict_eps3_name,pict_eps1_size,pict_eps2_size,pict_eps3_size,pict_eps1_name,production_year,picture_location,vdo_eps1_realname,vdo_eps2_realname,vdo_eps1_location,vdo_eps2_location,vdo_eps3_location,vdo_eps3_realname,pict_eps3_location,pict_eps1_location,pict_eps2_location,pict_eps2_realname,pict_eps3_realname,pict_eps1_realname
4,1,0,Show,60,Trans Tv,"Yuk Keep Smile (abbreviated as YKS) is an Indonesian variety show aired on Trans TV with 7.6 rating/33.2 share. It is Indonesia\xe2\x81\x99s No.1 primetime show and most watched program in the whole of Indonesia. YKS is a 4 hour show,  airing daily from 19:30 to 23:30.
The show was premiered on September 30, 2013, and is a continuation of Yuk Kita Sahur (Let\xe2\x81\x99s Suhoor), which previously aired as the sahur (pre-dawn meal) show during Ramadan.
It is an original format from TRANS TV. The format of YKS is a mix of live music, sitcoms, interactive quizzes, talk shows and game shows guided and filled with a variety of comedians/artists, presenting a different guest star every day. 
The show is well-known for rocking the audiences in the studio with a famous dance called  Joget Caesar (Caesar's Dance). Throughout the show, the audience is entertained with dances such as the Kereta Malam dance (Night Train dance), Kok Sepi Sih dance (Why So Quiet dance), Oplosan dance (Artificial Shake) , Bang Jali dance (Mr. Jali's dance), Simalakama dance (The Karma dance), and as of today, the Pokoke Joget dance (Just Dance) and Goyang Naik Delman (Wagon Ride Shake) especially for children. The music from YKS originated from Dangdut which is a genre of local Indonesian music and in YKS, it has been rearranged to suit the current trend.",YKS_small.jpg,96675,,,Yuk Keep Smile,,No Series,,,,50,,,,,,,2013,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_1/,,!,,,,,,,,,,
3,16,0,Hidden,30,Trans Tv,"TransTV proudly presents the trendsetter of sketch show, SKETSA. This quirky comedy show is guaranteed to crack you up with their hilarious and original daily jokes!",ETHNIC RUNAWAY.jpg,96822,ethnicrunaway02sukulaut.flv,ethnicrunawaysukudanipapua.flv,ETHNIC RUNAWAY,269617680,No Series,143103414,269409037,ethnicrunaway70spesialsukupesisir.flv,13,ethnicrunawaysukulaut.jpg,ethnicrunaway70.jpg,80155,23065,26363,ethnicrunawaysukudanipapua.jpg,2011-2012,http://172.16.15.250/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_16/,ETHNIC RUNAWAY - Suku Dani Papua.flv,ETHNIC RUNAWAY #02 - Suku Laut.flv,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_16/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_16/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_16/,ETHNIC RUNAWAY #70-SPESIAL SUKU PESISIR.flv,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_16/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_16/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_16/,ETHNIC RUNAWAY- Suku Laut.jpg,ETHNIC RUNAWAY 70.jpg,ETHNIC RUNAWAY - Suku Dani Papua.jpg
3,17,0,Hidden,30,Trans Tv,This programme highlights the reaction of our clueless victims who was pranked in public. All their priceless expressions are captured on a hidden camera. ,Koper&Ransel.jpg,355375,koperransel153melbourne1.flv,koperransel28bangkaisland.flv,KOPER & RANSEL (Suitcase & Backpack),141511404,No Series,139866743,141123674,koperransel261kompilasitamannasional.flv,13,koperransel153.jpg,koperransel261.jpg,23541,20393,16237,koperransel28.jpg,2007-2012,http://172.16.15.250/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_17/,KOPER & RANSEL #28-BANGKA ISLAND.flv,KOPER & RANSEL #153-MELBOURNE 1.flv,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_17/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_17/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_17/,KOPER & RANSEL #261-KOMPILASI TAMAN NASIONAL.flv,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_17/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_17/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_17/,KOPER & RANSEL 153.jpg,KOPER & RANSEL 261.jpg,KOPER & RANSEL 28.jpg
3,18,0,Hidden,30,Trans Tv,This programme shows team effort and professionalism in building a trap  that will leave people in shock. The hard work pays off when we see the victim\xe2\x81\x99s priceless expressions! ,Wisata Kuliner 1.jpg,341246,kulinerpilihan236.flv,kulinerpilihan233.flv,KULINER PILIHAN (Culinary Choices),149497906,No Series,129522336,132453280,kulinerpilihan239.flv,13,kulinerpilihan236.jpg,kulinerpilihan239.jpg,21306,21707,22717,kulinerpilihan2332.jpg,2008-2012,http://172.16.15.250/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_18/,KULINER PILIHAN #233.flv,KULINER PILIHAN #236.flv,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_18/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_18/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_18/,KULINER PILIHAN #239.flv,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_18/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_18/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_18/,KULINER PILIHAN 236.jpg,KULINER PILIHAN 239.jpg,KULINER PILIHAN 233 2.jpg
3,19,0,Hidden,30,Trans Tv,"Are you up for some extreme challenges? Only those who possesses big guts and courage will be able to compete in our Super X-tion. Big challenge, big money to win! ",ala chef.jpg,97256,alachef205tanahkaro.flv,alachef194desabatulayang(bogor).flv,A LA CHEF,148236839,No Series,144934189,197965010,alachef312bandungserbasusu.flv,13,alachef296.jpg,alachef303.jpg,19418,22262,19199,alachef286.jpg,2008-2013,http://172.16.15.250/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_19/,ALA CHEF #194 DESA BATU LAYANG( BOGOR).flv,ALA CHEF #205 TANAH KARO.flv,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_19/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_19/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_19/,ALA CHEF #312 - BANDUNG SERBA SUSU.flv,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_19/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_19/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_19/,ALA CHEF 296.jpg,ALA CHEF 303.jpg,ALA CHEF 286.jpg
3,20,0,Hidden,30,Trans Tv,"A thoughtful reality show that portrays the lives of the less fortunate people. Expect a lot of emotions in this programme as it presents how the poor go about their daily lives and their reactions when they receive charity, money, goods or house renovation for a chance. ",Gula-gula cropped.jpg,310618,gulagula303gubukudang.flv,gulagula296talagacikeas.flv,Gula Gula (Sweets),149449988,No Series,148380376,152669546,gulagula18may11.flv,13,gulagula303.jpg,gulagula18may11.jpg,23416,28954,23002,gulagula296.jpg,2005-2012,http://172.16.15.250/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_20/,GULA-GULA #296 - Talaga Cikeas.flv,GULA-GULA #303 - GUbuk Udang.flv,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_20/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_20/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_20/,GULA-GULA 18MAY11.flv,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_20/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_20/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_20/,GULA-GULA 303.jpg,GULA-GULA 18MAY11.jpg,GULA-GULA 296.jpg
3,21,0,Hidden,30,Trans7,Tired of being an employee? Want to have your own business? This reality programme gives the employee an opportunity to learn from a successful businessman and also experience being a big boss. They will learn how hard a business can be and how big a business can grow. ,cooking in paradise.jpg,201412,cookinginparadise44balicipanas.flv,cookinginparadise38manadodermaga.flv,Cooking In Paradise,143874141,No Series,141611846,145254802,cookinginparadise63keratonsurakarta.flv,13,cookinginparadise44.jpg,cookinginparadise63.jpg,19391,21379,20485,cookinginparadise38.jpg,2010-2011,http://172.16.15.250/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_21/,COOKING IN PARADISE #38-MANADO DERMAGA.flv,COOKING IN PARADISE #44-BALI CIPANAS.flv,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_21/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_21/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_21/,COOKING IN PARADISE #63-KERATON SURAKARTA.flv,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_21/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_21/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_21/,COOKING IN PARADISE 44.jpg,COOKING IN PARADISE 63.jpg,COOKING IN PARADISE 38.jpg
3,22,0,Hidden,30,Trans Tv,"How does it feel working as a grave keeper, morgue watchman, shaman assistant, make up artist for dead bodies? This programme shows how far a celebrity would go to do a job that has never crossed their mind. Hosted by Fathir, this 30 minutes programme uncovers extraordinary jobs out there!",harmoni ALAM.jpg,118576,harmonialam95pangrango.flv,harmonialam93goapawon.flv,HARMONI ALAM (Natural Harmony),144111382,No Series,150793576,133055838,harmonialam130batukaras.flv,13,harmonialam952.jpg,harmonialam1301.jpg,26696,30277,17429,harmonialam932.jpg,2008-2012,http://172.16.15.250/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_22/,HARMONI ALAM #93-GOA PAWON.flv,HARMONI ALAM #95-PANGRANGO.flv,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_22/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_22/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_22/,HARMONI ALAM #130-BATU KARAS.flv,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_22/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_22/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_22/,HARMONI ALAM #95 2.jpg,HARMONI ALAM #130 1.jpg,HARMONI ALAM #93 2.jpg
3,23,0,Hidden,30,Trans Tv,"In\xc2\xa0Dunia Lain,\xc2\xa0Hary Panca  tracks down and challenges ordinary people to experience Indonesia\xe2\x81\x99s most notorious haunted sites. The presence of the agitated spirit can\xe2\x81\x99t be avoided, can they last till the end of the challenge?",s life.jpg,146467,naturelife5.flv,naturelife1.flv,NATURE\xe2\x81\x99S LIFE,133315942,No Series,150613310,128058435,naturelife11.flv,13,naturelife1.flv_snapshot_06.16_[2013.08.19_18.24.52].jpg,naturelife2.flv_snapshot_01.31_[2013.08.19_18.27.45].jpg,28502,18527,25764,naturelife2.flv_snapshot_02.31_[2013.08.19_18.27.59].jpg,2012,http://172.16.15.250/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_23/,NATURE LIFE #1.flv,NATURE LIFE #5.flv,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_23/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_23/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_23/,NATURE LIFE #11.flv,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_23/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_23/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_23/,NATURE LIFE #1.flv_snapshot_06.16_[2013.08.19_18.24.52].jpg,NATURE LIFE #2.flv_snapshot_01.31_[2013.08.19_18.27.45].jpg,NATURE LIFE #2.flv_snapshot_02.31_[2013.08.19_18.27.59].jpg
3,24,0,Hidden,30,Trans Tv,Kejar Tayang shows the crazy\xc2\xa0life of the crews\xc2\xa0and actors while in the\xc2\xa0process of a stripping\xc2\xa0soap-programme.\xc2\xa0The colorful characters create conflicts and they are often caught in amusing situations.,fun cooking.jpg,184536,funcooking007okonomiyakidorayaki.flv,funcooking1nasigorengjepang.flv,FUN COOKING,147242536,No Series,158950130,159194816,funcooking3lumpiagoreng.flv,13,funcooking3.jpg,funcooking2.jpg,24867,20238,22407,funcooking1.jpg,2012,http://172.16.15.250/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_24/,FUN COOKING #1-NASI GORENG JEPANG.flv,FUN COOKING #007-OKONOMIYAKI & DORAYAKI.flv,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_24/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_24/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_24/,FUN COOKING #3-LUMPIA GORENG.flv,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_24/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_24/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_24/,FUN COOKING 3.jpg,FUN COOKING 2.jpg,FUN COOKING 1.jpg
2,28,0,Hidden,60,Trans Tv,"Inspired by Wayang or Puppets show that originates from the Javanese culture, Opera Van Java is a twist comedy starring famous comedians such as Sule, Nunung, Azis, Andre and Parto on board.",GoGoGirls2011 - TRANSMEDIA 2.jpg,6300626,gogogirls8.flv,gogogirls1.flv,GO GO GIRLS,285724576,Series,301423293,294418068,gogogirls12.flv,22,gogogirls2.jpg,gogogirls3.jpg,62284,54885,79031,gogogirls1.jpg,2011,http://172.16.15.250/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_28/,GO GO GIRLS #1.flv,GO GO GIRLS #8.flv,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_28/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_28/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_28/,GO GO GIRLS #12.flv,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_28/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_28/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_28/,GO GO GIRLS 2.jpg,GO GO GIRLS 3.jpg,GO GO GIRLS 1.jpg
2,29,0,Show,30,Trans Tv,"Roland Lagonda takes you to the greatest holiday places in Indonesia. Not only will you be seeing killer views, but he will also share his best moments when he tries the local food, art, and experience local traditional ceremonies that you have never heard before. To top it off, the price lists are available for our dear audience.  Two words, informative and fun!",s Diary.jpg,153213,angelsdiary50.flv,angelsdiary1.flv,ANGEL'S DIARY,153608314,Series,148271311,39918642,video_2650.avi,13,angel8.jpg,angel2.jpg,34194,34476,28730,angel1.jpg,2009,http://172.16.15.250/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_29/,ANGELS DIARY #1.flv,ANGELS DIARY #50.flv,http://localhost/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_29/,http://localhost/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_29/,http://transcorp-international.com/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_29/,video_2650.avi,http://www.transcorp-international.com/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_29/,http://www.transcorp-international.com/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_29/,http://www.transcorp-international.com/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_29/,ANGEL8.jpg,ANGEL2.jpg,ANGEL1.jpg
7,30,0,Hidden,30,Trans7,"Let\xe2\x81\x99s take a peek of what your darling stars like to do on their holiday! 2 celebrities go on a holiday together and experience the wonderful journey to places that will blow your mind. Once they get to their desired destination, they will mingle with the locals and do fun activities together.  An unforgettable journey!",zajirah_islam.jpg,26375,jazirahislam13mosleminandamansea.flv.flv,jazirahislam6netherland2.flv,JAZIRAH ISLAM,141518193,No Series,156193872,139992072,jazirahislam1theislamiclivinginchina.flv,15,jazirahislam201116.jpg,jazirahislam201118.jpg,22546,18473,18325,jazirahislam20116belanda2.jpg,2011-2013,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_30/,JAZIRAH ISLAM #6 - Netherland 2.flv,JAZIRAH ISLAM #13 - MOSLEM IN ANDAMAN SEA.flv.flv,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_30/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_30/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/video/data_30/,JAZIRAH ISLAM #1- The Islamic Living in China.flv,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_30/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_30/,http://172.16.8.198/transmedianew/dc9144e0ece8bcd25dd3a4dcb7b305a3/picture/data_30/,JAZIRAH ISLAM 2011 #16.jpg,JAZIRAH ISLAM 2011 #18.jpg,JAZIRAH ISLAM 2011 #6 - BELANDA 2.jpg
